target,snapshot_minute,model,samples_total,samples_train,samples_test,accuracy,f1,precision,recall,log_loss,brier,roc_auc
q3,24,logreg,1576,1260,316,0.724684,0.769231,0.759162,0.77957,0.565966,0.186607,0.779735
q3,24,gb,1576,1260,316,0.696203,0.751295,0.725,0.77957,0.582261,0.198442,0.748222
q3,24,ensemble_avg_prob,1576,1260,316,0.731013,0.778068,0.756345,0.801075,0.556415,0.186046,0.779322
q4,24,logreg,1558,1246,312,0.535256,0.665127,0.560311,0.818182,0.732286,0.266835,0.467664
q4,24,gb,1558,1246,312,0.538462,0.665116,0.562992,0.8125,0.721319,0.262144,0.46992
q4,24,ensemble_avg_prob,1558,1246,312,0.519231,0.662162,0.548507,0.835227,0.718318,0.261085,0.471758
q4,30,logreg,1558,1246,312,0.669872,0.743142,0.662222,0.846591,0.569453,0.196137,0.771516
q4,30,gb,1558,1246,312,0.650641,0.72818,0.648889,0.829545,0.634044,0.221078,0.686706
q4,30,ensemble_avg_prob,1558,1246,312,0.657051,0.737101,0.649351,0.852273,0.582707,0.200163,0.753635
q4,36,logreg,1558,1246,312,0.727564,0.780362,0.71564,0.857955,0.507076,0.169736,0.832261
q4,36,gb,1558,1246,312,0.711538,0.761905,0.712871,0.818182,0.569859,0.193988,0.766502
q4,36,ensemble_avg_prob,1558,1246,312,0.730769,0.782383,0.719048,0.857955,0.513695,0.172829,0.81931
